Job_Title,Job_Type,Salary,Job_Skill,Gaji_Perbulan
it business analyst,Full-time,"USD 60,000 - 90,000 / YEARLY","SQL, Excel","5,000 - 7,500"
hr manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
"executive/ sr. executive, accounts",Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
operation clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
sr. engineer/assistant manager -r&d project management,Contract,"USD 70,000 - 115,500 / YEARLY",Communication,"5,833 - 9,625"
e-commerce / sales admin / secretary,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
data analyst (e-commerce),Full-time,"USD 60,000 - 90,000 / YEARLY","SQL, Excel","5,000 - 7,500"
sales executive (management trainee) - kepong,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
injection process engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
finance & office executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
account executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
sales executive (microbiology),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
admin executive cum pa to managing director,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
corporate sales executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
procurement executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
sales admin clerk ( 销售行政文员) rm2000-rm3000,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
account executive,Full-time,"USD 50,000 - 75,000 / YEARLY","SQL, Excel","4,167 - 6,250"
sr. engineer/ engineer- dfx & dtx (packaging & sterilization),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
backend developer,Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Java, React","5,833 - 8,750"
admin cum logistic coordinator,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
hr assistant manager (client facing advisory) - work from home,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
accounts cum tax executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
finance executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
accounts executive,Full-time,"USD 50,000 - 75,000 / YEARLY","SQL, Excel","4,167 - 6,250"
"senior analyst, loan operation services",Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
front end engineer,Full-time,"USD 70,000 - 105,000 / YEARLY","Java, React","5,833 - 8,750"
"manager, finance",Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
assistant human resource manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
service desk analyst (indonesian speaker),Full-time,"USD 60,000 - 90,000 / YEARLY","SQL, Excel","5,000 - 7,500"
"senior executive, credit control",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
hr/ admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
audit cum tax assistant,Full-time,"USD 70,000 - 105,000 / YEARLY",SQL,"5,833 - 8,750"
machine learning engineer,Full-time,"USD 60,000 - 90,000 / YEARLY","Python, Java, Machine Learning, Data Analysis","5,000 - 7,500"
software support engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
sales admin executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
sales executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
php software engineer,Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Excel, Java","5,833 - 8,750"
supply chain logistic and fulfillment specialist,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
senior contract executive/ asst. contract manager/ contract manager,Contract,"USD 75,000 - 110,000 / YEARLY",Communication,"6,250 - 9,167"
electrical engineer/technician (fresh graduates are welcome to apply),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
human resources & administration manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
angular developer,Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Excel","5,833 - 8,750"
senior accounting executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
assistant market manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
supply chain planning,Full-time,"USD 60,000 - 90,000 / YEARLY","Excel, Data Analysis","5,000 - 7,500"
accountant,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
admin  and procurement executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
"analyst, anti money laundering (aml)",Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
senior finance executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
hr & admin assistant manager/manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
operations executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
admin manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
application support engineer - credit processing apps,Full-time,"USD 70,000 - 105,000 / YEARLY",Java,"5,833 - 8,750"
pa to chairman,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
"executive - parts planning & ordering, spare parts division",Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
intern - finance,Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
executive secretary,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
admin assistant/ admin clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
hr manager,Full-time,"USD 75,000 - 100,000 / YEARLY","SQL, Excel","6,250 - 8,333"
human resource executive/ officer (2 vacancies),Full-time,"USD 30,000 - 50,000 / YEARLY","Excel, Data Analysis","2,500 - 4,167"
customer service executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
plant manager (factory in oversea)/ผู้จัดการโรงงาน,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
office admin,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
administrative assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
business admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
administration officer,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
assistant admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
office admin cum account assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
office admin,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
admin operation assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",SQL,"2,500 - 4,167"
management trainee/internship,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
processing officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
internship trainee - project engineer (mechanical),Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
it executive,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
customer support officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
human resources officer,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
finance assistant (6 months contract),Contract,"USD 50,000 - 82,500 / YEARLY",Excel,"4,167 - 6,875"
general admin,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
associate - agency support (ipoh branch),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
account executive (immediate hiring!),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
exam invigilators (external contractor/part-time),Part-time,"USD 22,500 - 49,500 / YEARLY",Excel,"1,875 - 4,125"
admin executives - 2 positions,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
admin executive (open to fresh graduate),Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
vendor management executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
hr executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
admin,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
"executive, production",Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
office administrator,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
technical assistant,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
junior programmer (penang),Full-time,"USD 70,000 - 105,000 / YEARLY","Python, SQL, Java","5,833 - 8,750"
executive – internal audit,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
warehouse admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
admin assistant / general clerk  行政助理/文員,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
dba (mssql),Full-time,"USD 45,000 - 82,500 / YEARLY",SQL,"3,750 - 6,875"
"operations and administrative, senior executive",Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
operations executive / compliance officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
accounts assistant 会计执行员,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
account executive,Full-time,"USD 50,000 - 75,000 / YEARLY",SQL,"4,167 - 6,250"
finance assistant manager,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
admin & hr assistant / officer (taman perindustrian puchong),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
account payable executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
accounts payable officer,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
personal assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
project manager ( main contractor ),Contract,"USD 60,000 - 99,000 / YEARLY",Communication,"5,000 - 8,250"
purchasing executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
vocational training officer,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY","SQL, Excel","2,500 - 4,167"
personal assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
senior executive - hr & admin (based in papua new guinea),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
executive - campus central,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
credit administration supervisor/ executive - hire purchase facility,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
procurement executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
hr cum admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
"executive, value management",Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
"executive, technical support analyst (service)",Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
human resource executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
international customer success manager,Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
account executive - global business services,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
personal assistant to gmd's office,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
"executive, marketing support",Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
purchasing executive (5 working days),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
internship,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
wfh  admin assistant (jas/consadmin),Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
hr executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
accounts assistant manager 会计部副理,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
admin manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
juruteknik tcst,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
"[hybrid] intern, internal finance",Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
"technician - gps installer (vacancy in kl,penang,terengganu)",Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
senior executive - it infrastructure,Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Excel","5,833 - 8,750"
admin and accounts assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
project executive (5-day work week in beranang),Contract,"USD 45,000 - 90,750 / YEARLY",Communication,"3,750 - 7,562"
key account manager,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
hr & admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
account executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
senior talent acquisition executive,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
analyst- it i (accounts payable / accounts receivable),Full-time,"USD 60,000 - 90,000 / YEARLY","SQL, Excel","5,000 - 7,500"
junior chemical process (beneficiation direction),Full-time,"USD 45,000 - 82,500 / YEARLY",Data Analysis,"3,750 - 6,875"
"office admin / customer service (location : platinum walk, setapak)",Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
civil & structural engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
administration manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
accounts executive/ assistant finance manager,Full-time,"USD 50,000 - 75,000 / YEARLY",SQL,"4,167 - 6,250"
internship engineering (electronic & electrical),Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
human resources officer,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
it executive - cyber security,Full-time,"USD 70,000 - 105,000 / YEARLY","Python, Java","5,833 - 8,750"
assistant manager (digital information & technology department (ditd)),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
invoicing cum admin clerk (普通书记),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
it support,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
account assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
assistant project engineer,Contract,"USD 70,000 - 115,500 / YEARLY",Communication,"5,833 - 9,625"
"senior executive, finance operation - powertrain (tanjung malim)",Full-time,"USD 60,000 - 90,000 / YEARLY","Excel, Data Analysis","5,000 - 7,500"
finance assistant - 6 months contract (multiple contract positions),Contract,"USD 70,000 - 115,500 / YEARLY",Excel,"5,833 - 9,625"
"administration assistant / executive, johor bahru",Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
human resource executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
administrative executive & admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
accounts executive (5 working days),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
hr & admin assistant 人事行政助理,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
environmental engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
order processing specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
assistant hr & admin manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
operations safety executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
site engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
health & safety officer / site safety supervisor,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
it business analyst,Full-time,"USD 60,000 - 90,000 / YEARLY","SQL, Java","5,000 - 7,500"
senior procurement executive,Full-time,"USD 45,000 - 82,500 / YEARLY","Excel, Data Analysis","3,750 - 6,875"
account's clerk,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
accountant / accounts executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
accounts cum admin assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"vp, client distribution",Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
"sr. executive - hr & admin (based in tanjung langsat, pasir gudang)",Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
"sales manager/executives  (johor bahru, sgx-listed, package negotiable)",Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
assistant business system manager,Full-time,"USD 70,000 - 105,000 / YEARLY",Data Analysis,"5,833 - 8,750"
personal assistant (pa) to cfo,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
hr & admin executive / senior executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
document controller,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
android developer /sr android developer,Full-time,"USD 70,000 - 105,000 / YEARLY",Java,"5,833 - 8,750"
procurement executive (working hr:12noon-9pm),Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
research analyst (finance) - internship role available,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
senior admin executive / assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
group hr & admin manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
engineering manager (pcba & assembly manufacturing),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
process engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior hr & admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
m&e engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
software engineer (fresh grad are welcome),Full-time,"USD 70,000 - 105,000 / YEARLY",SQL,"5,833 - 8,750"
halal executive & document controller,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
admin clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
human resources executive (talent acquisition),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
engineering intern,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
mechanical design engineer (pipe/steel/equipment),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
"senior executive, corporate development & strategy",Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
administrative assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
"vice president, corporate credit administration",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
system support specialist,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
accounts senior executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
electrical engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior operation & finance executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
production trainer,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
project coordinator,Contract,"USD 45,000 - 90,750 / YEARLY",Communication,"3,750 - 7,562"
"senior executive, international services (human capital & admin)",Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
maintenance engineer,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
officer - procurement,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
helpdesk support (shift work),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
water & wastewater engineers,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
web & graphic designer (1 year contract),Contract,"USD 45,000 - 77,000 / YEARLY","Excel, Java","3,750 - 6,417"
test engineer (assembly & equipment),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
head of sales (edutech),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
draughtsperson (5-day work week in beranang),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
equipment engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
assistant resident engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
account specialist (ar),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
application support,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
e-commerce clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
application engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
account junior executive,Full-time,"USD 50,000 - 75,000 / YEARLY",SQL,"4,167 - 6,250"
treasury executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
finance & administration executive (hap seng logistics - kl),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
events trainer,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
accounts officer,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
intern - hr operations,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
account officer,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"associate, audit (johor)",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
admin executive/operation executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
software engineer (semiconductor industry-automation),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
